name,displayName,blockStart,blockEnd,definedCount,unassignedCount,ranges
Basic_Latin,Basic Latin,0,127,128,0,0-127
Latin_1_Supplement,Latin 1 Supplement,128,255,128,0,128-255
Latin_Extended_A,Latin Extended A,256,383,128,0,256-383
Latin_Extended_B,Latin Extended B,384,591,208,0,384-591
IPA_Extensions,IPA Extensions,592,687,96,0,592-687
Spacing_Modifier_Letters,Spacing Modifier Letters,688,767,80,0,688-767
Combining_Diacritical_Marks,Combining Diacritical Marks,768,879,112,0,768-879
Greek_And_Coptic,Greek And Coptic,880,1023,135,9,"880-887,890-895,900-906,908-908,910-929,931-1023"
Cyrillic,Cyrillic,1024,1279,256,0,1024-1279
Cyrillic_Supplement,Cyrillic Supplement,1280,1327,48,0,1280-1327
Armenian,Armenian,1328,1423,91,5,"1329-1366,1369-1418,1421-1423"
Hebrew,Hebrew,1424,1535,88,24,"1425-1479,1488-1514,1519-1524"
Arabic,Arabic,1536,1791,256,0,1536-1791
Syriac,Syriac,1792,1871,77,3,"1792-1805,1807-1866,1869-1871"
Arabic_Supplement,Arabic Supplement,1872,1919,48,0,1872-1919
Thaana,Thaana,1920,1983,50,14,1920-1969
NKo,NKo,1984,2047,62,2,"1984-2042,2045-2047"
Samaritan,Samaritan,2048,2111,61,3,"2048-2093,2096-2110"
Mandaic,Mandaic,2112,2143,29,3,"2112-2139,2142-2142"
Syriac_Supplement,Syriac Supplement,2144,2159,11,5,2144-2154
Arabic_Extended_B,Arabic Extended B,2160,2207,42,6,"2160-2190,2192-2193,2199-2207"
Arabic_Extended_A,Arabic Extended A,2208,2303,96,0,2208-2303
Devanagari,Devanagari,2304,2431,128,0,2304-2431
Bengali,Bengali,2432,2559,96,32,"2432-2435,2437-2444,2447-2448,2451-2472,2474-2480,2482-2482,2486-2489,2492-2500,2503-2504,2507-2510,2519-2519,2524-2525,2527-2531,2534-2558"
Gurmukhi,Gurmukhi,2560,2687,80,48,"2561-2563,2565-2570,2575-2576,2579-2600,2602-2608,2610-2611,2613-2614,2616-2617,2620-2620,2622-2626,2631-2632,2635-2637,2641-2641,2649-2652,2654-2654,2662-2678"
Gujarati,Gujarati,2688,2815,91,37,"2689-2691,2693-2701,2703-2705,2707-2728,2730-2736,2738-2739,2741-2745,2748-2757,2759-2761,2763-2765,2768-2768,2784-2787,2790-2801,2809-2815"
Oriya,Oriya,2816,2943,91,37,"2817-2819,2821-2828,2831-2832,2835-2856,2858-2864,2866-2867,2869-2873,2876-2884,2887-2888,2891-2893,2901-2903,2908-2909,2911-2915,2918-2935"
